銘柄コード,会社名,優先市場,業種
1301,極洋,東証1,水産・農林業
1332,日本水産,東証1,水産・農林業
1333,マルハニチロ,東証1,水産・農林業
1352,ホウスイ,東証1,卸売業
1376,カネコ種苗,東証1,水産・農林業
1377,サカタのタネ,東証1,水産・農林業
1379,ホクト,東証1,水産・農林業
1380,秋川牧園,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1381,アクシーズ,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1382,ホーブ,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1383,ベルグアース,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1384,ホクリヨウ,東証1,水産・農林業
1400,ルーデン･HD,東証JQG,建設業
1401,エムビーエス,マザーズ,建設業
1407,ウエストHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1413,ヒノキヤG,東証1,建設業
1414,ショーボンドHD,東証1,建設業
1417,ミライト･HD,東証1,建設業
1418,インターライフHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1419,タマホーム,東証1,建設業
1420,サンヨーホームズ,東証1,建設業
1429,日本アクア,東証1,建設業
1430,ファーストコーポレーション,東証1,建設業
1433,ベステラ,東証1,建設業
1434,JESCOHD,東証2,建設業
1435,TATERU,東証1,建設業
1436,フィット,マザーズ,建設業
1439,安江工務店,ｼﾞｬｽﾀﾞｯｸ,建設業
1443,技研HD,東証2,建設業
1446,キャンディル,東証1,建設業
1447,ITbookHD,マザーズ,建設業
1448,スペースバリューHD,東証1,建設業
1450,田中建設工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1451,KHC,東証2,建設業
1491,中外鉱業,東証2,非鉄金属
1514,住石HD,東証1,鉱業
1515,日鉄鉱業,東証1,鉱業
1518,三井松島HD,東証1,鉱業
1605,国際石油開発帝石,東証1,鉱業
1662,石油資源開発,東証1,鉱業
1663,K&OエナジーG,東証1,鉱業
1711,省電舎HD,東証2,建設業
1712,ダイセキ環境ソリューション,東証1,建設業
1716,第一カッター興業,東証1,建設業
1717,明豊ファシリティワークス,東証1,建設業
1718,美樹工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1719,安藤･間,東証1,建設業
1720,東急建設,東証1,建設業
1721,コムシスHD,東証1,建設業
1723,日本電技,ｼﾞｬｽﾀﾞｯｸ,建設業
1724,シンクレイヤ,ｼﾞｬｽﾀﾞｯｸ,建設業
1726,ビーアールHD,東証1,建設業
1728,ミサワホーム中国,ｼﾞｬｽﾀﾞｯｸ,建設業
1730,麻生フオームクリート,ｼﾞｬｽﾀﾞｯｸ,建設業
1736,オーテック,ｼﾞｬｽﾀﾞｯｸ,建設業
1737,三井金属エンジニアリング,東証2,建設業
1739,シード平和,東証JQG,建設業
1743,コーアツ工業,東証2,建設業
1757,クレアHD,東証2,建設業
1758,太洋基礎工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1762,高松コンストラクションG,東証1,建設業
1764,工藤建設,東証2,建設業
1766,東建コーポレーション,東証1,建設業
1768,ソネック,東証1,建設業
1770,藤田エンジニアリング,ｼﾞｬｽﾀﾞｯｸ,建設業
1775,富士古河E&C,東証2,建設業
1776,三井住建道路,東証2,建設業
1780,ヤマウラ,東証1,建設業
1782,常磐開発,ｼﾞｬｽﾀﾞｯｸ,建設業
1783,アジアゲートHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1787,ナカボーテック,ｼﾞｬｽﾀﾞｯｸ,建設業
1788,三東工業社,ｼﾞｬｽﾀﾞｯｸ,建設業
1789,ETSHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1793,大本組,ｼﾞｬｽﾀﾞｯｸ,建設業
1795,マサル,ｼﾞｬｽﾀﾞｯｸ,建設業
1798,守谷商会,ｼﾞｬｽﾀﾞｯｸ,建設業
1799,第一建設工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1801,大成建設,東証1,建設業
1802,大林組,東証1,建設業
1803,清水建設,東証1,建設業
1805,飛島建設,東証1,建設業
1807,佐藤渡辺,ｼﾞｬｽﾀﾞｯｸ,建設業
1808,長谷工コーポレーション,東証1,建設業
1810,松井建設,東証1,建設業
1811,錢高組,東証1,建設業
1812,鹿島建設,東証1,建設業
1813,不動テトラ,東証1,建設業
1814,大末建設,東証1,建設業
1815,鉄建建設,東証1,建設業
1820,西松建設,東証1,建設業
1821,三井住友建設,東証1,建設業
1822,大豊建設,東証1,建設業
1824,前田建設工業,東証1,建設業
1826,佐田建設,東証1,建設業
1827,ナカノフドー建設,東証1,建設業
1828,田辺工業,東証2,建設業
1833,奥村組,東証1,建設業
1835,東鉄工業,東証1,建設業
1840,土屋HD,東証2,建設業
1841,サンユー建設,ｼﾞｬｽﾀﾞｯｸ,建設業
1844,大盛工業,東証2,建設業
1847,イチケン,東証1,建設業
1848,富士ピー･エス,東証1,建設業
1850,南海辰村建設,東証2,建設業
1852,淺沼組,東証1,建設業
1853,森組,東証2,建設業
1860,戸田建設,東証1,建設業
1861,熊谷組,東証1,建設業
1866,北野建設,東証1,建設業
1867,植木組,東証1,建設業
1870,矢作建設工業,東証1,建設業
1871,ピーエス三菱,東証1,建設業
1873,日本ハウスHD,東証1,建設業
1878,大東建託,東証1,建設業
1879,新日本建設,東証1,建設業
1881,NIPPO,東証1,建設業
1882,東亜道路工業,東証1,建設業
1883,前田道路,東証1,建設業
1884,日本道路,東証1,建設業
1885,東亜建設工業,東証1,建設業
1887,日本国土開発,東証1,建設業
1888,若築建設,東証1,建設業
1890,東洋建設,東証1,建設業
1893,五洋建設,東証1,建設業
1897,金下建設,東証2,建設業
1898,世紀東急工業,東証1,建設業
1899,福田組,東証1,建設業
1904,大成温調,ｼﾞｬｽﾀﾞｯｸ,建設業
1905,テノックス,ｼﾞｬｽﾀﾞｯｸ,建設業
1909,日本ドライケミカル,東証1,機械
1911,住友林業,東証1,建設業
1914,日本基礎技術,東証1,建設業
1921,巴コーポレーション,東証1,建設業
1925,大和ハウス工業,東証1,建設業
1926,ライト工業,東証1,建設業
1928,積水ハウス,東証1,建設業
1929,日特建設,東証1,建設業
1930,北陸電気工事,東証1,建設業
1934,ユアテック,東証1,建設業
1938,日本リーテック,東証1,建設業
1939,四電工,東証1,建設業
1941,中電工,東証1,建設業
1942,関電工,東証1,建設業
1944,きんでん,東証1,建設業
1945,東京エネシス,東証1,建設業
1946,トーエネック,東証1,建設業
1948,弘電社,東証2,建設業
1949,住友電設,東証1,建設業
1950,日本電設工業,東証1,建設業
1951,協和エクシオ,東証1,建設業
1952,新日本空調,東証1,建設業
1954,日本工営,東証1,サービス業
1959,九電工,東証1,建設業
1960,サンテック,東証2,建設業
1961,三機工業,東証1,建設業
1963,日揮HD,東証1,建設業
1964,中外炉工業,東証1,建設業
1965,テクノ菱和,東証2,建設業
1966,高田工業所,東証2,建設業
1967,ヤマト,東証1,建設業
1968,太平電業,東証1,建設業
1969,高砂熱学工業,東証1,建設業
1971,中央ビルト工業,東証2,金属製品
1972,三晃金属工業,東証1,建設業
1973,NECネッツエスアイ,東証1,情報・通信業
1975,朝日工業社,東証1,建設業
1976,明星工業,東証1,建設業
1979,大氣社,東証1,建設業
1980,ダイダン,東証1,建設業
1981,協和日成,ｼﾞｬｽﾀﾞｯｸ,建設業
1982,日比谷総合設備,東証1,建設業
1992,神田通信機,ｼﾞｬｽﾀﾞｯｸ,建設業
1994,高橋カーテンウォール工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1997,暁飯島工業,ｼﾞｬｽﾀﾞｯｸ,建設業
2001,日本製粉,東証1,食料品
2002,日清製粉G本社,東証1,食料品
2003,日東富士製粉,東証1,食料品
2004,昭和産業,東証1,食料品
2009,鳥越製粉,東証1,食料品
2053,中部飼料,東証1,食料品
2055,日和産業,東証2,食料品
2060,フィード･ワン,東証1,食料品
2107,東洋精糖,東証1,食料品
2108,日本甜菜製糖,東証1,食料品
2109,三井製糖,東証1,食料品
2112,塩水港精糖,東証1,食料品
2114,フジ日本精糖,東証2,食料品
2117,日新製糖,東証1,食料品
2121,ミクシィ,マザーズ,サービス業
2122,インタースペース,マザーズ,サービス業
2124,ジェイエイシーリクルートメント,東証1,サービス業
2127,日本M&Aセンター,東証1,サービス業
2130,メンバーズ,東証1,サービス業
2134,燦キャピタルマネージメント,ｼﾞｬｽﾀﾞｯｸ,サービス業
2136,ヒップ,ｼﾞｬｽﾀﾞｯｸ,サービス業
2138,クルーズ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2139,中広,東証1,サービス業
2146,UTG,東証1,サービス業
2148,アイティメディア,東証1,サービス業
2150,ケアネット,マザーズ,サービス業
